feature,coefficient
prev1Team_DAL,1.3054473941708576e-4
prev1Team_DEN,3.894836522061806e-4
prev1Team_DET,1.6464824168814182e-4
prev1Team_GB,-1.7520902150165042e-5
prev1Team_HOU,-9.795233197057711e-5
prev1Team_IND,2.8859456449941995e-4
prev1Team_JAX,-5.3859479762848536e-5
prev1Team_KC,-5.8334873463146566e-5
prev1Team_LA,-1.6837819835145343e-4
prev1Team_LAC,2.802994487089869e-4
prev1Team_LV,-1.2158811722515797e-4
prev1Team_MIA,2.6004422121673337e-5
prev1Team_MIN,2.959891037189642e-4
prev1Team_NE,-3.490891440156099e-4
prev1Team_NO,-3.0442124241811545e-4
prev1Team_NYG,-1.1609637039664084e-4
prev1Team_NYJ,-7.67438300580776e-5
prev1Team_PHI,-9.270978908681245e-5
prev1Team_PIT,2.571859163022268e-6
prev1Team_SEA,1.1886743651819844e-4
prev1Team_SF,1.5836247279120083e-4
prev1Team_TB,2.588774489247623e-4
prev1Team_TEN,-1.218027065023602e-4
prev1Team_WAS,-2.5900392112186005e-4
prev1Team_unknown,-5.386537346009925e-4
prev2Team_ATL,1.687766073459652e-5
prev2Team_BAL,2.0978589825077979e-4
prev2Team_BUF,-1.764665255821072e-5
prev2Team_CAR,3.9519838500212955e-4
prev2Team_CHI,1.3402753006873472e-4
prev2Team_CIN,9.706521485241111e-5
prev2Team_CLE,-3.3044397362348634e-4
prev2Team_DAL,-3.901688352633443e-4
prev2Team_DEN,-3.3536558482064596e-5
prev2Team_DET,1.275768050764543e-4
prev2Team_GB,-9.619409733391136e-5
prev2Team_HOU,4.140464114853582e-5
prev2Team_IND,3.3070293567749137e-4
prev2Team_JAX,4.349519326370034e-5
prev2Team_KC,-1.8114435055021787e-4
prev2Team_LA,-2.353659600210656e-5
prev2Team_LAC,-3.87814427033874e-5
prev2Team_LV,1.5886687591532169e-4
prev2Team_MIA,1.673390903727335e-4
prev2Team_MIN,-1.6487020847039588e-4
prev2Team_NE,1.2795641630377204e-6
prev2Team_NO,-2.1441648971643541e-4
prev2Team_NYG,-2.8141126110196337e-4
prev2Team_NYJ,-2.3680995575537986e-4
prev2Team_PHI,8.176662373522592e-5
prev2Team_PIT,-1.8369997330901905e-4
prev2Team_SEA,9.278572437369198e-5
prev2Team_SF,5.6447472036298656e-5
prev2Team_TB,4.012377179916407e-5
prev2Team_TEN,-2.2842175319685233e-4
prev2Team_WAS,1.614742804378498e-4
prev2Team_unknown,-5.081780453266332e-4
priorTeamSame_yes,9.082795191852985e-4
priorTeamSame_unknown,1.0184133916836768e-4
regPrev1Available_yes,-8.083400366572823e-4
regPrev2Available_yes,-8.676348648243124e-4
snapPrev1Available_yes,-3.3384817386994034e-4
snapPrev2Available_yes,3.897596756153211e-4
